Referencia,Especie,Diada,Individuos,duración 1,duración 2,Duración total,P1,P2,IR,,RI
"Perr,96",Cebus capucinus,f-f,A-S,5.8,41.6,47.4,0.1223628692,0.8776371308,0.2447257384,0.7552742616,0.2447257384
"Perr,96",Cebus capucinus,f-f,A-N,3.5,10.3,13.8,0.2536231884,0.7463768116,0.5072463768,0.4927536232,
"Perr,96",Cebus capucinus,f-f,A-D,2.1,23.3,25.4,0.08267716535,0.9173228346,0.1653543307,0.8346456693,
"Perr,96",Cebus capucinus,f-f,A-W,2.3,21.2,23.5,0.09787234043,0.9021276596,0.1957446809,0.8042553191,
"Perr,96",Cebus capucinus,f-f,A-T,0.04,2.5,2.54,0.0157480315,0.9842519685,0.03149606299,0.968503937,
"Perr,96",Cebus capucinus,f-f,S-N,28.6,25.5,54.1,0.528650647,0.471349353,0.9426987061,0.0573012939,
"Perr,96",Cebus capucinus,f-f,S-D,18.1,9.3,27.4,0.6605839416,0.3394160584,0.6788321168,0.3211678832,
"Perr,96",Cebus capucinus,f-f,S-W,9,15.2,24.2,0.3719008264,0.6280991736,0.7438016529,0.2561983471,
"Perr,96",Cebus capucinus,f-f,S-T,7.4,2.9,10.3,0.7184466019,0.2815533981,0.5631067961,0.4368932039,
"Perr,96",Cebus capucinus,f-f,N-D,9.6,10.5,20.1,0.4776119403,0.5223880597,0.9552238806,0.0447761194,
"Perr,96",Cebus capucinus,f-f,N-W,9.9,14.6,24.5,0.4040816327,0.5959183673,0.8081632653,0.1918367347,
"Perr,96",Cebus capucinus,f-f,N-T,4.3,3.7,8,0.5375,0.4625,0.925,0.075,
"Perr,96",Cebus capucinus,f-f,D-W,13.4,25.1,38.5,0.3480519481,0.6519480519,0.6961038961,0.3038961039,
"Perr,96",Cebus capucinus,f-f,D-T,6.9,3.6,10.5,0.6571428571,0.3428571429,0.6857142857,0.3142857143,
"Perr,96",Cebus capucinus,f-f,W-T,10.4,5.3,15.7,0.6624203822,0.3375796178,0.6751592357,0.3248407643,
,Cebus capucinus,,,Minutos,,,,,,,
,Cebus capucinus,,A-Z,407,,407,1,0,0,1,
,Cebus capucinus,,A-A4,53,,53,1,0,0,1,
,Cebus capucinus,,A-A3,36,,36,1,0,0,1,
,Cebus capucinus,,A-A2,86,119,205,0.4195121951,0.5804878049,0.8390243902,0.1609756098,
,Cebus capucinus,,A-A1,38,101,139,0.273381295,0.726618705,0.5467625899,0.4532374101,
,Cebus capucinus,,A-B,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,Cebus capucinus,,A-B3,0,,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,Cebus capucinus,,A-B2,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,Cebus capucinus,,A-B1,0,23,23,0,1,0,1,
,Cebus capucinus,,A-C,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,Cebus capucinus,,A-C4,0,,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,Cebus capucinus,,A-C1,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,Cebus capucinus,,A-C3,0,,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,Cebus capucinus,,A2-A1,19,,19,1,0,0,1,
,Cebus capucinus,,B,13,31,44,0.2954545455,0.7045454545,0.5909090909,0.4090909091,
,Cebus capucinus,,B4,8,,8,1,0,0,1,
,Cebus capucinus,,B3,8,,8,1,0,0,1,
,Cebus capucinus,,B2,3,74,77,0.03896103896,0.961038961,0.07792207792,0.9220779221,
,Cebus capucinus,,B1,17,94,111,0.1531531532,0.8468468468,0.3063063063,0.6936936937,
,Cebus capucinus,,C,18,6,24,0.75,0.25,0.5,0.5,
,Cebus capucinus,,C4,2,,2,1,0,0,1,
,Cebus capucinus,,C1,51,20,71,0.7183098592,0.2816901408,0.5633802817,0.4366197183,
,Cebus capucinus,,C3,3,,3,1,0,0,1,
,Cebus capucinus,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,Cebus capucinus,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,Cebus capucinus,,,Min/h,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
"Idani,1991",Pan paniscus,f-f,No-Ms,2,2,4,0.5,0.5,1,0,
"Idani,1991",Pan paniscus,f-f,No-Ki,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
"Idani,1991",Pan paniscus,f-f,No-Km,2,1,3,0.6666666667,0.3333333333,0.6666666667,0.3333333333,
"Idani,1991",Pan paniscus,f-f,No-H1,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
"Idani,1991",Pan paniscus,f-f,No-Bh,1,1,2,0.5,0.5,1,0,
"Idani,1991",Pan paniscus,f-f,No-Bh,1,1,2,0.5,0.5,1,0,
"Idani,1991",Pan paniscus,f-f,No-Sn,1,0,1,1,0,0,1,
"Idani,1991",Pan paniscus,f-f,No-Mt,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
