Referencia,Especie,Diada,IR
"Ahumada,92",A. geoffroyi,m-m,1
"Ahumada,92",A. geoffroyi,m-m,0.5
"Ahumada,92",A. geoffroyi,m-f,0
"Ahumada,92",A. geoffroyi,m-f,0
"Ahumada,92",A. geoffroyi,m-j,0
"Ahumada,92",A. geoffroyi,m-j,
"Ahumada,92",A. geoffroyi,m-j,0
"Ahumada,92",A. geoffroyi,m-m,0
"Ahumada,92",A. geoffroyi,m-m,0.5
"Ahumada,92",A. geoffroyi,m-f,0
"Ahumada,92",A. geoffroyi,m-f,0.125
"Ahumada,92",A. geoffroyi,m-j,1
"Ahumada,92",A. geoffroyi,m-j,0
"Ahumada,92",A. geoffroyi,m-j,0.1666666667
"Ahumada,92",A. geoffroyi,m-j,1
"Ahumada,92",A. geoffroyi,m-j,0
"Ahumada,92",A. geoffroyi,m-m,0
"Ahumada,92",A. geoffroyi,m-f,0
"Ahumada,92",A. geoffroyi,m-f,0.25
"Ahumada,92",A. geoffroyi,m-f,1
"Ahumada,92",A. geoffroyi,m-j,1
"Ahumada,92",A. geoffroyi,m-j,0
"Ahumada,92",A. geoffroyi,m-j,0
"Ahumada,92",A. geoffroyi,m-j,0
"Ahumada,92",A. geoffroyi,f-f,0
"Ahumada,92",A. geoffroyi,f-f,0
"Ahumada,92",A. geoffroyi,f-f,1.5
"Ahumada,92",A. geoffroyi,f-f,0
"Ahumada,92",A. geoffroyi,f-j,0
"Ahumada,92",A. geoffroyi,f-j,0
"Ahumada,92",A. geoffroyi,f-j,0
"Ahumada,92",A. geoffroyi,f-j,0
"Ahumada,92",A. geoffroyi,f-f,0.6666667
"Ahumada,92",A. geoffroyi,f-j,0
"Ahumada,92",A. geoffroyi,f-j,0
"Ahumada,92",A. geoffroyi,f-j,0.25
"Ahumada,92",A. geoffroyi,f-j,0
"Ahumada,92",A. geoffroyi,f-j,1
"Ahumada,92",A. geoffroyi,f-j,0
"Ahumada,92",A. geoffroyi,f-j,0
"Ahumada,92",A. geoffroyi,f-j,0.2727272727
"Ahumada,92",A. geoffroyi,f-j,0
"Ahumada,92",A. geoffroyi,j-j,0
"Ahumada,92",A. geoffroyi,j-j,0
"Ahumada,92",A. geoffroyi,j-j,0
"Ahumada,92",A. geoffroyi,j-j,0
"Butovskaya,94",Macaca arctoides,m-f,0
"Butovskaya,94",Macaca arctoides,m-f,0
"Butovskaya,94",Macaca arctoides,m-f,2
"Butovskaya,94",Macaca arctoides,m-f,0.7272727273
"Butovskaya,94",Macaca arctoides,m-f,0.5
"Butovskaya,94",Macaca arctoides,m-f,0.3333333333
"Butovskaya,94",Macaca arctoides,m-f,0
"Butovskaya,94",Macaca arctoides,m-f,0.6666666667
"Butovskaya,94",Macaca arctoides,m-f,0.25
"Butovskaya,94",Macaca arctoides,m-m,0.9545454545
"Butovskaya,94",Macaca arctoides,m-f,0.2
"Butovskaya,94",Macaca arctoides,m-f,0
"Butovskaya,94",Macaca arctoides,m-f,0.125
"Butovskaya,94",Macaca arctoides,m-f,1
"Butovskaya,94",Macaca arctoides,m-f,0
"Butovskaya,94",Macaca arctoides,f-f,0
"Butovskaya,94",Macaca arctoides,f-f,1
"Butovskaya,94",Macaca arctoides,f-f,0
"Butovskaya,94",Macaca arctoides,f-f,0
"Butovskaya,94",Macaca arctoides,f-f,0.5
"Butovskaya,94",Macaca arctoides,f-f,0
"Butovskaya,94",Macaca arctoides,f-f,0.9565217391
"Butovskaya,94",Macaca arctoides,f-f,0.6666666667
"Butovskaya,94",Macaca arctoides,f-f,1.166666667
"Butovskaya,94",Macaca arctoides,f-f,0
"Butovskaya,94",Macaca arctoides,f-f,0
